state,median_family_income,per_capita_income,act_participation,act_composite_score,sat_participation,sat_ebrw,sat_math,sat_total_score
Alabama,64430,27928,1.0,18.9,0.07,583,560,1143
Alaska,92588,36787,0.38,20.1,0.41,556,541,1097
Arizona,70184,30694,0.73,19.0,0.31,569,565,1134
Arkansas,59455,26577,1.0,19.3,0.06,582,559,1141
California,85837,36955,0.23,22.6,0.63,534,531,1065
Colorado,88931,38226,0.27,23.8,1.0,518,506,1024
Connecticut,100418,44496,0.22,25.5,1.0,529,516,1046
Delaware,83127,35450,0.13,24.1,1.0,499,486,985
District of Columbia,113561,56147,0.32,23.5,0.94,495,480,975
Florida,67414,31619,0.54,20.1,1.0,516,483,999
Georgia,70851,31067,0.49,21.4,0.71,538,519,1058
Hawaii,94982,35567,0.8,19.0,0.54,550,550,1100
Idaho,67762,27970,0.31,22.5,1.0,505,488,993
Illinois,83279,36038,0.35,24.3,1.0,509,504,1013
Indiana,71164,29777,0.29,22.5,0.66,543,537,1080
Iowa,77099,32176,0.66,21.6,0.03,622,622,1244
Kansas,75976,31814,0.72,21.2,0.04,618,623,1241
Kentucky,63684,28178,1.0,19.8,0.04,620,612,1232
Louisiana,63572,27923,1.0,18.8,0.05,610,591,1200
Maine,73756,32637,0.06,24.3,0.99,512,502,1013
Maryland,103108,42122,0.28,22.3,0.82,535,523,1058
Massachusetts,103126,43761,0.21,25.5,0.81,559,561,1120
Michigan,72600,31713,0.19,24.4,1.0,507,496,1003
Minnesota,89842,37625,0.95,21.4,0.04,636,648,1284
Mississippi,57008,24369,1.0,18.4,0.03,628,608,1237
Missouri,70398,30810,0.82,20.8,0.04,622,615,1236
Montana,71079,31151,1.0,19.8,0.09,603,596,1199
Nebraska,78212,32302,1.0,20.0,0.03,628,631,1260
Nevada,71916,31557,1.0,17.9,0.2,580,576,1156
New Hampshire,95244,40003,0.14,25.0,0.95,533,526,1059
New Jersey,102260,42745,0.25,24.2,0.82,544,545,1090
New Mexico,61102,27230,0.63,19.3,0.18,543,530,1073
New York,84385,39326,0.22,24.5,0.79,531,533,1064
North Carolina,68435,30783,1.0,19.0,0.51,554,546,1100
North Dakota,86249,36062,0.96,19.9,0.02,627,636,1263
Ohio,72439,31552,1.0,20.0,0.19,550,548,1097
Oklahoma,65544,28422,1.0,18.9,0.22,490,472,963
Oregon,76946,33763,0.42,21.1,0.51,562,550,1112
Pennsylvania,78521,34352,0.17,23.6,0.7,545,537,1082
Rhode Island,86258,36121,0.12,24.7,1.0,503,492,995
South Carolina,66357,29426,0.78,18.8,0.68,526,504,1030
South Dakota,75168,30773,0.75,21.6,0.03,633,635,1268
Tennessee,66242,29859,1.0,19.4,0.07,618,602,1220
Texas,73349,31277,0.39,20.5,0.68,515,507,1022
Utah,81525,29775,1.0,20.3,0.04,614,615,1230
Vermont,80998,34577,0.2,24.1,0.66,560,546,1106
Virginia,90141,39278,0.21,24.0,0.68,567,551,1119
Washington,88660,38915,0.24,22.1,0.7,539,535,1074
West Virginia,59607,26480,0.49,20.8,0.99,483,460,943
Wisconsin,78679,33375,1.0,20.3,0.03,635,648,1283
Wyoming,79782,33366,1.0,19.8,0.03,623,615,1238
